date,target,model,actual,predicted,error
2025-12-16,hhs_care_load,Seasonal naive,2468.0,2095.0,373.0
2025-12-17,hhs_care_load,Seasonal naive,2481.0,2096.0,385.0
2025-12-18,hhs_care_load,Seasonal naive,2472.0,2096.0,376.0
2025-12-19,hhs_care_load,Seasonal naive,2476.0,2108.6666666666665,367.3333333333335
2025-12-20,hhs_care_load,Seasonal naive,2480.0,2121.3333333333335,358.6666666666665
2025-12-21,hhs_care_load,Seasonal naive,2484.0,2134.0,350.0
2025-09-23,hhs_care_load,Exponential smoothing,2145.0,2124.0964343269397,20.903565673060257
2025-09-24,hhs_care_load,Exponential smoothing,2138.0,2124.0964343269397,13.903565673060257
2025-09-25,hhs_care_load,Exponential smoothing,2132.0,2124.0964343269397,7.903565673060257
2025-09-26,hhs_care_load,Exponential smoothing,2136.6666666666665,2124.0964343269397,12.570232339726772
2025-09-27,hhs_care_load,Exponential smoothing,2141.3333333333335,2124.0964343269397,17.23689900639374
2025-09-28,hhs_care_load,Exponential smoothing,2146.0,2124.0964343269397,21.903565673060257
2025-09-29,hhs_care_load,Exponential smoothing,2148.0,2124.0964343269397,23.903565673060257
2025-09-30,hhs_care_load,Exponential smoothing,2159.0,2124.0964343269397,34.90356567306026
2025-10-01,hhs_care_load,Exponential smoothing,2163.0,2124.0964343269397,38.90356567306026
2025-10-02,hhs_care_load,Exponential smoothing,2164.0,2124.0964343269397,39.90356567306026
2025-10-03,hhs_care_load,Exponential smoothing,2169.3333333333335,2124.0964343269397,45.23689900639374
2025-10-04,hhs_care_load,Exponential smoothing,2174.6666666666665,2124.0964343269397,50.57023233972677
2025-10-05,hhs_care_load,Exponential smoothing,2180.0,2124.0964343269397,55.90356567306026
2025-10-06,hhs_care_load,Exponential smoothing,2187.0,2124.0964343269397,62.90356567306026
2025-10-07,hhs_care_load,Exponential smoothing,2189.0,2124.0964343269397,64.90356567306026
2025-10-08,hhs_care_load,Exponential smoothing,2192.0,2124.0964343269397,67.90356567306026
2025-10-09,hhs_care_load,Exponential smoothing,2192.0,2124.0964343269397,67.90356567306026
2025-10-10,hhs_care_load,Exponential smoothing,2199.75,2124.0964343269397,75.65356567306026
2025-10-11,hhs_care_load,Exponential smoothing,2207.5,2124.0964343269397,83.40356567306026
2025-10-12,hhs_care_load,Exponential smoothing,2215.25,2124.0964343269397,91.15356567306026
2025-10-13,hhs_care_load,Exponential smoothing,2223.0,2124.0964343269397,98.90356567306026
2025-10-14,hhs_care_load,Exponential smoothing,2235.0,2124.0964343269397,110.90356567306026
2025-10-15,hhs_care_load,Exponential smoothing,2225.0,2124.0964343269397,100.90356567306026
2025-10-16,hhs_care_load,Exponential smoothing,2233.0,2124.0964343269397,108.90356567306026
2025-10-17,hhs_care_load,Exponential smoothing,2234.3333333333335,2124.0964343269397,110.23689900639374
2025-10-18,hhs_care_load,Exponential smoothing,2235.6666666666665,2124.0964343269397,111.57023233972677
2025-10-19,hhs_care_load,Exponential smoothing,2237.0,2124.0964343269397,112.90356567306026
2025-10-20,hhs_care_load,Exponential smoothing,2243.0,2124.0964343269397,118.90356567306026
2025-10-21,hhs_care_load,Exponential smoothing,2251.0,2124.0964343269397,126.90356567306026
2025-10-22,hhs_care_load,Exponential smoothing,2261.0,2124.0964343269397,136.90356567306026
2025-10-23,hhs_care_load,Exponential smoothing,2266.0,2124.0964343269397,141.90356567306026
2025-10-24,hhs_care_load,Exponential smoothing,2269.3333333333335,2124.0964343269397,145.23689900639374
2025-10-25,hhs_care_load,Exponential smoothing,2272.6666666666665,2124.0964343269397,148.57023233972677
2025-10-26,hhs_care_load,Exponential smoothing,2276.0,2124.0964343269397,151.90356567306026
2025-10-27,hhs_care_load,Exponential smoothing,2282.0,2124.0964343269397,157.90356567306026
2025-10-28,hhs_care_load,Exponential smoothing,2286.0,2124.0964343269397,161.90356567306026
2025-10-29,hhs_care_load,Exponential smoothing,2280.0,2124.0964343269397,155.90356567306026
2025-10-30,hhs_care_load,Exponential smoothing,2287.0,2124.0964343269397,162.90356567306026
2025-10-31,hhs_care_load,Exponential smoothing,2283.6666666666665,2124.0964343269397,159.57023233972677
2025-11-01,hhs_care_load,Exponential smoothing,2280.3333333333335,2124.0964343269397,156.23689900639374
